"price" "sqft" "age" "feats" "northeast" "cust" "cor" "tax"
205000 2650 13 7 "Yes" "Yes" "No" 1639
208000 2600 NA 4 "Yes" "Yes" "No" 1088
215000 2664 6 5 "Yes" "Yes" "No" 1193
215000 2921 3 6 "Yes" "Yes" "No" 1635
199900 2580 4 4 "Yes" "Yes" "No" 1732
190000 2580 4 4 "Yes" "No" "No" 1534
180000 2774 2 4 "Yes" "No" "No" 1765
156000 1920 1 5 "Yes" "Yes" "No" 1161
145000 2150 NA 4 "Yes" "No" "No" NA
144900 1710 1 3 "Yes" "Yes" "No" 1010
137500 1837 4 5 "Yes" "No" "No" 1191
127000 1880 8 6 "Yes" "No" "No" 930
125000 2150 15 3 "Yes" "No" "No" 984
123500 1894 14 5 "Yes" "Yes" "No" 1112
117000 1928 18 8 "Yes" "Yes" "No" 600
118000 1830 NA 3 "Yes" "No" "No" 733
115500 1767 16 4 "Yes" "No" "No" 794
111000 1630 15 3 "Yes" "No" "Yes" 867
113900 1680 17 4 "Yes" "No" "Yes" 750
99500 1725 NA 3 "Yes" "No" "No" 923
99500 1500 15 4 "Yes" "No" "No" 743
97500 1430 NA 3 "Yes" "No" "No" 752
97500 1360 NA 4 "Yes" "No" "No" 696
90000 1400 16 2 "Yes" "No" "Yes" 731
96000 1573 17 6 "Yes" "No" "No" 768
86000 1385 NA 2 "Yes" "No" "No" 653
169500 2931 28 3 "Yes" "No" "Yes" 1142
155300 2200 28 4 "Yes" "No" "No" 1035
125000 2277 NA 4 "Yes" "Yes" "No" NA
130000 2000 NA 3 "Yes" "Yes" "No" 1076
102000 1478 53 3 "Yes" "No" "Yes" 626
102000 1713 30 4 "Yes" "No" "Yes" 600
92200 1326 NA 4 "Yes" "No" "No" 668
92500 1050 NA 2 "Yes" "No" "Yes" 553
89900 1464 NA 2 "Yes" "Yes" "No" 566
85000 1190 41 "Yes" "Yes" "No" "No" 600
87600 1156 NA "Yes" "Yes" "No" "No" NA
89000 1746 NA 2 "Yes" "No" "No" 591
87000 1280 NA "Yes" "Yes" "No" "No" 599
70000 1215 NA 3 "Yes" "No" "No" 477
72000 1121 46 4 "Yes" "No" "No" 398
72000 1050 NA "Yes" "Yes" "No" "No" NA
74900 1733 43 6 "Yes" "No" "No" 656
73100 1299 NA 6 "Yes" "No" "No" 585
72500 1140 NA 3 "Yes" "No" "Yes" 490
67000 1181 NA 4 "Yes" "No" "No" 440
215000 2848 4 6 "Yes" "Yes" "No" 1487
159900 2440 NA 5 "Yes" "Yes" "No" 1265
135000 2253 23 4 "Yes" "Yes" "No" 939
129900 2743 25 5 "Yes" "Yes" "Yes" 1232
125000 2180 17 4 "Yes" "No" "Yes" 1141
123900 1706 14 4 "Yes" "No" "No" 810
120000 1948 NA 4 "Yes" "No" "No" 899
112500 1710 16 4 "Yes" "Yes" "No" 800
110000 1657 NA 4 "Yes" "No" "No" 865
