Order   Time  Shirt  Goggles  Flippers  End
5      16.55    1       1         1      0
12     17.22    1       1         1      1
18     17.70    1       1         1      1
9      21.53    1       1         0      0
14     22.49    1       1         0      1
17     22.50    1       1         0      0
7      17.77    1       0         1      0
11     17.43    1       0         1      0
21     18.70    1       0         1      0
2      23.78    1       0         0      1
19     24.29    1       0         0      0
22     24.89    1       0         0      1
4      16.14    0       1         1      1
20     16.39    0       1         1      1
24     16.40    0       1         1      1
1      19.97    0       1         0      0
3      19.95    0       1         0      0
6      20.32    0       1         0      1
10     16.85    0       0         1      1
13     17.80    0       0         1      0
15     16.81    0       0         1      0
8      22.63    0       0         0      1
16     22.81    0       0         0      1
23     22.31    0       0         0      0
